Date,price_return,position,strategy_return,strategy_equity,benchmark_equity
2015-04-01,-0.008504503378015116,0.0,-0.0,1.0,0.8875502324598374
2015-04-02,0.002961653810223508,0.0,0.0,1.0,0.8901788489875668
2015-04-03,0.009359694406420482,0.0,0.0,1.0,0.8985106509811496
2015-04-06,0.012013541333229849,0.0,0.0,1.0,0.9093049458250588
2015-04-07,-0.006046965979111696,0.0,-0.0,1.0,0.9038064097530167
2015-04-08,-0.010120584903829721,0.0,-0.0,1.0,0.8946593602464858
2015-04-09,-0.003591537227713437,0.0,-0.0,1.0,0.8914461578480383
2015-04-10,-0.010775757970984845,0.0,-0.0,1.0,0.8818401498069035
2015-04-13,-0.005548917954294907,0.0,-0.0,1.0,0.8769468911668219
2015-04-14,-0.0034785770327849797,0.0,-0.0,1.0,0.8738963638522368
2015-04-15,0.007016504587601835,0.0,0.0,1.0,0.8800280616982946
2015-04-16,0.0027866658336563876,0.0,0.0,1.0,0.8824804058304881
2015-04-17,0.007378339683203672,0.0,0.0,1.0,0.8889916460284769
2015-04-20,0.005080779754110587,0.0,0.0,1.0,0.8935084167851919
2015-04-21,-0.005803639611723255,0.0,-0.0,1.0,0.8883228159441292
2015-04-22,-0.0005370663400049436,0.0,-0.0,1.0,0.8878457276606272
2015-04-23,-0.0014802230744337397,0.0,-0.0,1.0,0.8865315179280066
2015-04-24,0.008316786081770111,0.0,0.0,1.0,0.8939046109173607
2015-04-27,0.004988814297946176,0.0,0.0,1.0,0.8983641350213053
2015-04-28,0.0008267566439954521,0.0,0.0,1.0,0.8991068635386614
2015-04-29,0.008380406821014708,0.0,0.0,1.0,0.9066417448306819
2015-04-30,0.013237203319521829,0.0,0.0,1.0,0.9186431459449717
2015-05-01,0.009027745228146644,0.0,0.0,1.0,0.926936422222146
2015-05-04,-0.0025615628658635092,0.0,-0.0,1.0,0.9245620163039654
2015-05-05,-0.003288985702471603,0.0,-0.0,1.0,0.9215211450512933
2015-05-06,0.0033335193782932926,0.0,0.0,1.0,0.9245930536458289
2015-05-07,0.013870673307220915,0.0,0.0,1.0,0.937417781835076
2015-05-08,-0.008334004280467489,0.0,-0.0,1.0,0.9296053380286761
2015-05-11,-0.004701511718801732,0.0,-0.0,1.0,0.9252347876380737
2015-05-12,-0.004435549656303772,0.0,-0.0,1.0,0.9211308627937653
2015-05-13,0.006912466303839349,0.0,0.0,1.0,0.9274981488442537
2015-05-14,0.011498061400544435,0.0,0.0,1.0,0.9381625795085563
2015-05-15,0.0048014629669170805,0.0,0.0,1.0,0.9426671323910141
2015-05-18,0.0035136753843081348,0.0,0.0,1.0,0.9459793586896927
2015-05-19,-0.01038610716641919,0.0,-0.0,1.0,0.9361543156931211
2015-05-20,-0.015850600736273313,0.0,-0.0,1.0,0.9213157074075303
2015-05-21,-0.004118285527832555,0.0,-0.0,1.0,0.9175214662631491
2015-05-22,0.0010000016108273613,0.0,0.0,1.0,0.918438989207381
2015-05-25,-0.010696150975556318,0.0,-0.0,1.0,0.9086152271169815
2015-05-26,-0.001985882051857568,0.0,-0.0,1.0,0.9068108244454054
2015-05-27,-0.007502323627592844,0.0,-0.0,1.0,0.9000076361714117
2015-05-28,0.0010246067651416002,0.0,0.0,1.0,0.900929790084112
2015-05-29,0.005534912690249305,0.0,0.0,1.0,0.9059163578122722
2015-06-01,-0.00021915980981057626,0.0,-0.0,1.0,0.9057178173555898
2015-06-02,-0.003189447040307769,0.0,-0.0,1.0,0.902829078343671
2015-06-03,0.020783551356337915,0.0,0.0,1.0,0.9215930728594219
2015-06-04,0.009670482357685639,0.0,0.0,1.0,0.9305053224114743
2015-06-05,-0.004438275055515528,0.0,-0.0,1.0,0.926375483849991
2015-06-08,-0.008897615308484652,0.0,-0.0,1.0,0.9181329511634825
2015-06-09,0.015556452963885414,0.0,0.0,1.0,0.9324158432328505
2015-06-10,0.0016044342110643761,0.0,0.0,1.0,0.9339118431106718
2015-06-11,0.0011425006003165095,0.0,0.0,1.0,0.9349788379520684
2015-06-12,-0.0063060369615396406,0.0,-0.0,1.0,0.9290828268416853
2015-06-15,-0.0018400050395988021,0.0,-0.0,1.0,0.927373309758092
2015-06-16,0.005085862983867706,0.0,0.0,1.0,0.9320898033464176
2015-06-17,-0.003102800893038382,0.0,-0.0,1.0,0.9291977142722023
2015-06-18,0.011381383444843962,0.0,0.0,1.0,0.9397732697544068
2015-06-19,6.814974491020642e-05,0.0,0.0,1.0,0.9398373150630139
2015-06-22,0.0001934272477661647,0.0,0.0,1.0,0.9400191052082145
2015-06-23,-0.0020996162076409863,0.0,-0.0,1.0,0.9380454258594272
2015-06-24,-0.015585144308720156,0.0,-0.0,1.0,0.9234258525292731
2015-06-25,0.003115480528033343,0.0,0.0,1.0,0.9263027677919107
2015-06-26,-0.00035846842292086567,0.0,-0.0,1.0,0.925970717499593
2015-06-29,-0.020347664549454803,0.0,-0.0,1.0,0.9071293759572934
2015-06-30,0.022591827635104034,0.0,0.0,1.0,0.92762308646166
2015-07-01,-0.007839072189334995,0.0,-0.0,1.0,0.9203513821223933
2015-07-02,-0.00910273805855788,0.0,-0.0,1.0,0.9119736645691014
2015-07-03,0.004833896591066145,0.0,0.0,1.0,0.9163820509574041
2015-07-06,-0.008290269870579015,0.0,-0.0,1.0,0.9087849964504126
2015-07-07,0.004905826731768315,0.0,0.0,1.0,0.9132433381794289
2015-07-08,-0.003534203672930669,0.0,-0.0,1.0,0.9100157502193558
2015-07-09,0.005546563381724434,0.0,0.0,1.0,0.915063210256315
2015-07-10,-0.0007190668798957578,0.0,-0.0,1.0,0.9144052186088086
2015-07-13,0.005965179360537531,0.0,0.0,1.0,0.9198598097460217
2015-07-14,-0.012452284061309937,0.0,-0.0,1.0,0.9084054540984817
2015-07-15,0.0015961878920103256,0.0,0.0,1.0,0.9098554398853499
2015-07-16,-0.005854768727755255,0.0,-0.0,1.0,0.9045284467091311
2015-07-17,-0.005257993415770934,0.0,-0.0,1.0,0.8997724420919571
2015-07-20,-0.005122730347380866,0.0,-0.0,1.0,0.8951631504971156
2015-07-21,0.00047682631799483843,0.0,0.0,1.0,0.8955899878461718
2015-07-22,0.009649040679358345,0.0,0.0,1.0,0.9042315720709256
2015-07-23,-0.0011801107211915074,0.0,-0.0,1.0,0.9031644786982849
2015-07-24,0.0056702422739880465,0.0,0.0,1.0,0.9082856401057643
2015-07-27,-0.0015141702600819373,0.0,-0.0,1.0,0.9069103410018566
2015-07-28,0.010724127396219085,0.0,0.0,1.0,0.916636163035709
2015-07-29,-0.0021689777491131768,0.0,-0.0,1.0,0.9146479995940521
2015-07-30,-0.007403244401325337,0.0,-0.0,1.0,0.907876636911874
2015-07-31,-0.004080268727305825,0.0,-0.0,1.0,0.9041722562620309
2015-08-03,0.0027202083408026656,0.0,0.0,1.0,0.9066317931750373
2015-08-04,-0.001183181156478863,0.0,-0.0,1.0,0.905559083521488
2015-08-05,-0.006119636871587453,0.0,-0.0,1.0,0.9000173907645689
2015-08-06,0.0012975219323574372,0.0,0.0,1.0,0.901185183068589
2015-08-07,0.0021963250915382204,0.0,0.0,1.0,0.903164478698285
2015-08-10,0.0034758939700150204,0.0,0.0,1.0,0.9063037826637241
2015-08-11,0.004737264158738208,0.0,0.0,1.0,0.9105971830902658
2015-08-12,0.002274687260258146,0.0,0.0,1.0,0.9126685069018682
2015-08-13,0.010770364510168218,0.0,0.0,1.0,0.9224982793981523
2015-08-14,0.0,0.0,0.0,1.0,0.9224982793981523
2015-08-17,-0.006090043305764126,0.0,-0.0,1.0,0.9168802249271247
2015-08-18,-0.0013515696186234827,0.0,-0.0,1.0,0.9156409974711965
2015-08-19,-0.004257874291125452,0.0,-0.0,1.0,0.9117423132081635
2015-08-20,0.007904936297541187,0.0,0.0,1.0,0.9189495781138468
2015-08-21,0.010697606245615221,0.0,0.0,1.0,0.9287801388600829
2015-08-24,0.012457658135525795,0.0,0.0,1.0,0.9403505643130681
2015-08-25,0.01811596974290519,0.0,0.0,1.0,0.9573859266838874
2015-08-26,-0.002772274007746711,0.0,-0.0,1.0,0.9547317905639592
2015-08-27,-0.018257447261945337,0.0,-0.0,1.0,0.937300825248435
2015-08-28,-0.008121015141084098,0.0,-0.0,1.0,0.9296889910548419
2015-08-31,-0.0030165946088135387,0.0,-0.0,1.0,0.9268844962565526
2015-09-01,0.0010552767505003224,0.0,0.0,1.0,0.9278626159158513
2015-09-02,0.006019366380027202,0.0,0.0,1.0,0.9334477609513793
2015-09-03,-0.006853028334886102,0.0,-0.0,1.0,0.9270508169964434
2015-09-04,-0.008032885311773708,0.0,-0.0,1.0,0.9196039241053249
2015-09-07,0.0023418749571417763,0.0,0.0,1.0,0.9217575215056765
2015-09-08,0.0010718358794468141,0.0,0.0,1.0,0.9227454942893762
2015-09-09,0.0038888397698495503,0.0,0.0,1.0,0.9263339036650182
2015-09-10,0.0011893944140157764,0.0,0.0,1.0,0.9274356800355508
2015-09-11,0.006255229025333486,0.0,0.0,1.0,0.9332370026204391
2015-09-14,0.004707816083289185,0.0,0.0,1.0,0.9376305107908962
2015-09-15,-0.003211408739718591,0.0,-0.0,1.0,0.9346193959739155
2015-09-16,-0.0031674617914708714,0.0,-0.0,1.0,0.9316590247476005
2015-09-17,0.00179546903442529,0.0,0.0,1.0,0.9333317896771777
2015-09-18,0.009645239428679675,0.0,0.0,1.0,0.9423339982550122
2015-09-21,-0.009553097515853759,0.0,-0.0,1.0,0.9333317896771777
2015-09-22,-0.008952704396805733,0.0,-0.0,1.0,0.9249759460600563
2015-09-23,-0.006272076232996082,0.0,-0.0,1.0,0.91917442641268
2015-09-24,0.006221512160082154,0.0,0.0,1.0,0.9248930812838431
2015-09-25,-0.0009837218221332433,0.0,-0.0,1.0,0.9239832437766441
2015-09-28,0.0020386953288304976,0.0,0.0,1.0,0.9258669640996492
2015-09-29,0.0026168805931965355,0.0,0.0,1.0,0.9282898473898834
2015-09-30,0.0022174283435552056,0.0,0.0,1.0,0.9303482636085203
2015-10-01,-0.007451786745942268,0.0,-0.0,1.0,0.9234155067486519
2015-10-02,0.0019140391753817987,0.0,0.0,1.0,0.9251829602037239
2015-10-05,0.002997632948807283,0.0,0.0,1.0,0.9279563191289056
2015-10-06,-0.00283237570542616,0.0,-0.0,1.0,0.9253279981949082
2015-10-07,0.0065016088441813835,0.0,0.0,1.0,0.9313441188917408
2015-10-08,-0.0024840588590764323,0.0,-0.0,1.0,0.929030605282359
2015-10-09,0.004176144727765729,0.0,0.0,1.0,0.932910371546542
2015-10-12,0.007356438964750023,0.0,0.0,1.0,0.9397732697544064
2015-10-13,-0.0012718839315483121,0.0,-0.0,1.0,0.9385779872333072
2015-10-14,0.0025958227273639167,0.0,0.0,1.0,0.9410143693039709
2015-10-15,0.007952533167141729,0.0,0.0,1.0,0.9484978172866176
2015-10-16,-0.009355970882470088,0.0,-0.0,1.0,0.9396236993259977
2015-10-19,-0.0006248753447615218,0.0,-0.0,1.0,0.9390365516429352
2015-10-20,-0.0028208848306928713,0.0,-0.0,1.0,0.9363876376789395
2015-10-21,0.002202671679858881,0.0,0.0,1.0,0.9384501922098248
2015-10-22,-0.0005220280727630255,0.0,-0.0,1.0,0.9379602948646014
2015-10-23,-0.02353599273905338,0.0,-0.0,1.0,0.9158844681751478
2015-10-26,-0.0054660540176395545,1.0,-0.005666054017639554,0.9943339459823605,0.9108781941981854
2015-10-27,0.004138649294579855,1.0,0.004138649294579855,0.9984491454664771,0.9146479995940519
2015-10-28,-0.0026157993765257848,1.0,-0.0026157993765257848,0.9958374028142732,0.9122554639269732
2015-10-29,-0.009792364670887621,1.0,-0.009792364670887621,0.9860857998130063,0.9033223257511905
2015-10-30,0.005936707047880407,1.0,0.005936707047880407,0.9919399023305709,0.9086850857689853
2015-11-02,0.002921937945224995,0.0,-0.0002,0.9917415143501048,0.9113402072013538
2015-11-03,-0.0009033163874566652,0.0,-0.0,0.9917415143501048,0.9105169786576407
2015-11-04,-0.00472551579413949,0.0,-0.0,0.9917415143501048,0.9062143162941618
2015-11-05,-0.00874872298479501,0.0,-0.0,0.9917415143501048,0.8982860982760488
2015-11-06,0.0014692713335564545,0.0,0.0,0.9917415143501048,0.8996059242895781
2015-11-09,-0.013835355988871645,0.0,-0.0,0.9917415143501048,0.8871595560773339
2015-11-10,0.0024317402352773687,0.0,0.0,0.9917415143501048,0.8893168976649579
2015-11-11,-0.002040166257928022,0.0,-0.0,0.9917415143501048,0.8875025433377366
2015-11-12,0.002367851661998044,0.0,0.0,0.9917415143501048,0.8896040177100063
2015-11-13,0.004834278085237287,0.0,0.0,0.9917415143501048,0.8939046109173608
